,Predicted Data,Original Label
0,"[[-0.018937410786747932, -0.07051107287406921, 0.05899655073881149], [-0.0189027301967144, -0.07033529877662659, 0.059142667800188065]]","[[0.30985915660858154, 0.75, 0.3839285671710968], [0.6866196990013123, 0.75, 0.40625]]"
1,"[[-0.012529643252491951, -0.05920541658997536, 0.06701591610908508], [-0.012542696669697762, -0.05898651108145714, 0.06719746440649033]]","[[0.44014084339141846, 0.5, 0.2544642984867096], [0.7746478915214539, 0.75, 0.5669642686843872]]"
2,"[[-0.005866927094757557, -0.04700711369514465, 0.07546404749155045], [-0.005885563790798187, -0.047178979963064194, 0.07528506964445114]]","[[0.4225352108478546, 1.0, 0.5491071343421936], [0.23591549694538116, 1.0, 0.4285714328289032]]"
3,"[[0.0010388270020484924, -0.03450556844472885, 0.08399397134780884], [0.001296086236834526, -0.03394295647740364, 0.08431822061538696]]","[[0.07746478915214539, 0.5, 0.3258928656578064], [0.27816900610923767, 1.0, 0.3973214328289032]]"
4,"[[0.009340500459074974, -0.019111882895231247, 0.09430761635303497], [0.009077474474906921, -0.01946393772959709, 0.09419119358062744]]","[[0.3415493071079254, 1.0, 0.1741071492433548], [0.17957746982574463, 0.75, 0.4017857015132904]]"
5,"[[0.018106818199157715, -0.0024935752153396606, 0.10565860569477081], [0.017132379114627838, -0.004771295934915543, 0.10420605540275574]]","[[0.30985915660858154, 0.75, 0.5848214030265808], [0.05281690135598183, 0.0, 0.4330357015132904]]"
6,"[[0.0283828042447567, 0.01683620736002922, 0.11860649287700653], [0.02893657237291336, 0.017842475324869156, 0.11920872330665588]]","[[0.2887323796749115, 0.75, 0.4285714328289032], [0.75, 0.75, 0.1651785671710968]]"
7,"[[0.04143243655562401, 0.041669685393571854, 0.13508917391300201], [0.04164179414510727, 0.04235001280903816, 0.13561290502548218]]","[[0.48943662643432617, 1.0, 0.3482142984867096], [0.47535210847854614, 1.0, 0.5580357313156128]]"
8,"[[0.05460895225405693, 0.06628058850765228, 0.15173938870429993], [0.056872423738241196, 0.07148456573486328, 0.15520529448986053]]","[[0.05985915660858154, 0.75, 0.3928571343421936], [0.6478873491287231, 0.75, 0.6428571343421936]]"
9,"[[0.07716373354196548, 0.11068618297576904, 0.18118208646774292], [0.07191212475299835, 0.09909172356128693, 0.1735769510269165]]","[[0.6690140962600708, 1.0, 0.7276785969734192], [0.13380281627178192, 0.75, 0.4017857015132904]]"
10,"[[0.09436590224504471, 0.14209815859794617, 0.2019403874874115], [0.09657403081655502, 0.14661958813667297, 0.20487838983535767]]","[[0.05281690135598183, 1.0, 0.40625], [0.73591548204422, 0.75, 0.3214285671710968]]"
